Date,Close,9-day,21-day,Signal
2022-01-03 00:00:00-05:00,168.3300018310547,,,
2022-01-04 00:00:00-05:00,169.57000732421875,,,
2022-01-05 00:00:00-05:00,169.05999755859375,,,
2022-01-06 00:00:00-05:00,166.99000549316406,,,
2022-01-07 00:00:00-05:00,167.75,,,
2022-01-10 00:00:00-05:00,168.25999450683594,,,
2022-01-11 00:00:00-05:00,170.2899932861328,,,
2022-01-12 00:00:00-05:00,170.74000549316406,,,
2022-01-13 00:00:00-05:00,170.16000366210938,169.01666768391928,,
2022-01-14 00:00:00-05:00,169.6699981689453,169.1655561659071,,
2022-01-18 00:00:00-05:00,169.38999938964844,169.1455552842882,,
2022-01-19 00:00:00-05:00,172.0800018310547,169.48111131456164,,
2022-01-20 00:00:00-05:00,171.64999389648438,169.99888780381946,,
2022-01-21 00:00:00-05:00,171.08999633789062,170.3699985080295,,
2022-01-24 00:00:00-05:00,172.02999877929688,170.7888878716363,,
2022-01-25 00:00:00-05:00,172.5800018310547,171.04333326551648,,
2022-01-26 00:00:00-05:00,169.7899932861328,170.93777635362414,,
2022-01-27 00:00:00-05:00,167.60000610351562,170.65333218044705,,
2022-01-28 00:00:00-05:00,167.10000610351562,170.3677775065104,,
2022-01-31 00:00:00-05:00,168.08999633789062,170.22333272298178,,
2022-02-01 00:00:00-05:00,168.22999572753906,169.79555426703558,169.5452379499163,
2022-02-02 00:00:00-05:00,168.83999633789062,169.48333231608072,169.56952340262276,SELL
2022-02-03 00:00:00-05:00,168.60000610351562,169.20666673448352,169.52333286830358,
2022-02-04 00:00:00-05:00,168.86000061035156,168.8544447157118,169.51380920410156,
2022-02-07 00:00:00-05:00,170.11000061035156,168.58000013563367,169.6623804001581,
2022-02-08 00:00:00-05:00,170.6300048828125,168.67333475748697,169.79952348981584,
2022-02-09 00:00:00-05:00,171.2100067138672,169.07444593641492,169.94000026157923,
2022-02-10 00:00:00-05:00,170.55999755859375,169.45888943142361,169.9528576078869,
2022-02-11 00:00:00-05:00,173.80999755859375,170.09444512261285,170.0990477062407,
2022-02-14 00:00:00-05:00,174.74000549316406,170.81777954101562,170.317143031529,BUY
2022-02-15 00:00:00-05:00,173.0800018310547,171.2888912624783,170.47952415829613,
2022-02-16 00:00:00-05:00,174.86000061035156,171.98444620768228,170.74000040690103,
2022-02-17 00:00:00-05:00,177.25,172.91666836208768,170.98619079589844,
2022-02-18 00:00:00-05:00,177.1199951171875,173.695556640625,171.24666704450334,
2022-02-22 00:00:00-05:00,177.49000549316406,174.45777893066406,171.55142938523065,
2022-02-23 00:00:00-05:00,178.2899932861328,175.24444410536023,171.84952436174666,
2022-02-24 00:00:00-05:00,177.13999938964844,175.97555541992188,172.06666710263207,
2022-02-25 00:00:00-05:00,176.5500030517578,176.2800004747179,172.38857232956659,
2022-02-28 00:00:00-05:00,178.3800048828125,176.6844448513455,172.9019056047712,
2022-03-01 00:00:00-05:00,181.6199951171875,177.63333299424914,173.5933336530413,
